Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Djibouti,DJI,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.001740646
Djibouti,DJI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Djibouti,DJI,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Dominica,DMA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.6726344
Dominica,DMA,"Population ages 15-64, total",SP.POP.1564.TO,44843
Dominica,DMA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.087266381
Dominica,DMA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Dominica,DMA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Dominican Republic,DOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.33965106
Dominican Republic,DOM,"Population ages 15-64, total",SP.POP.1564.TO,6236035
Dominican Republic,DOM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.081835111
Dominican Republic,DOM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Dominican Republic,DOM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,53.751
Ecuador,ECU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.525298669
Ecuador,ECU,"Population ages 15-64, total",SP.POP.1564.TO,9437031
Ecuador,ECU,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.079148289
Ecuador,ECU,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,10.2697897
Ecuador,ECU,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,60.122
"Egypt, Arab Rep.",EGY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.147234858
"Egypt, Arab Rep.",EGY,"Population ages 15-64, total",SP.POP.1564.TO,54599324
"Egypt, Arab Rep.",EGY,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.032927456
"Egypt, Arab Rep.",EGY,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
"Egypt, Arab Rep.",EGY,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,45.045
El Salvador,SLV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.154195011
El Salvador,SLV,"Population ages 15-64, total",SP.POP.1564.TO,3744571
El Salvador,SLV,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.107196002
El Salvador,SLV,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
El Salvador,SLV,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,58.103
Equatorial Guinea,GNQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-8.924175889
Equatorial Guinea,GNQ,"Population ages 15-64, total",SP.POP.1564.TO,631716
Equatorial Guinea,GNQ,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.049336515
Equatorial Guinea,GNQ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Equatorial Guinea,GNQ,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Eritrea,ERI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.194190349
Eritrea,ERI,"Population ages 15-64, total",SP.POP.1564.TO,1693784
Eritrea,ERI,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.219205795
Eritrea,ERI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Eritrea,ERI,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Estonia,EST,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.444265118
Estonia,EST,"Population ages 15-64, total",SP.POP.1564.TO,896373
Estonia,EST,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.484425168
Estonia,EST,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Estonia,EST,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,50.392
Eswatini,SWZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.793754968
Eswatini,SWZ,"Population ages 15-64, total",SP.POP.1564.TO,642110
Eswatini,SWZ,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.160920794
Eswatini,SWZ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Eswatini,SWZ,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,12.55053835
Ethiopia,ETH,"Population ages 15-64, total",SP.POP.1564.TO,46533575
Ethiopia,ETH,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.163215604
Ethiopia,ETH,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Ethiopia,ETH,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Faroe Islands,FRO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.576939114
Faroe Islands,FRO,"Population ages 15-64, total",SP.POP.1564.TO,30699
Faroe Islands,FRO,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.001322041
Faroe Islands,FRO,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Faroe Islands,FRO,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Fiji,FJI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.954672422
Fiji,FJI,"Population ages 15-64, total",SP.POP.1564.TO,585967
Fiji,FJI,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.069821216
Fiji,FJI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Fiji,FJI,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,52.02
Finland,FIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.185958654
Finland,FIN,"Population ages 15-64, total",SP.POP.1564.TO,3549606
Finland,FIN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.420408729
Finland,FIN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Finland,FIN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,54.924
France,FRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.949437623
France,FRA,"Population ages 15-64, total",SP.POP.1564.TO,42084351
France,FRA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.281416857
France,FRA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
France,FRA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,51.031
French Polynesia,PYF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.46606419
French Polynesia,PYF,"Population ages 15-64, total",SP.POP.1564.TO,193133
French Polynesia,PYF,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.008809393
French Polynesia,PYF,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
French Polynesia,PYF,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Gabon,GAB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.089887315
Gabon,GAB,"Population ages 15-64, total",SP.POP.1564.TO,1000174
Gabon,GAB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.189935743
Gabon,GAB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Gabon,GAB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,38.8
"Gambia, The",GMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.90833581
"Gambia, The",GMB,"Population ages 15-64, total",SP.POP.1564.TO,995322
"Gambia, The",GMB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.23228504
"Gambia, The",GMB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
"Gambia, The",GMB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Georgia,GEO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.232310183
Georgia,GEO,"Population ages 15-64, total",SP.POP.1564.TO,2570644
Georgia,GEO,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.1043126
Georgia,GEO,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Georgia,GEO,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,52.262
Germany,DEU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.179882499
Germany,DEU,"Population ages 15-64, total",SP.POP.1564.TO,53930401
Germany,DEU,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.14485748
Germany,DEU,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Germany,DEU,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,55.232
Ghana,GHA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.899711941
Ghana,GHA,"Population ages 15-64, total",SP.POP.1564.TO,14746366
Ghana,GHA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.165293499
Ghana,GHA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Ghana,GHA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,67.073
Gibraltar,GIB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
Gibraltar,GIB,"Population ages 15-64, total",SP.POP.1564.TO,20716
Gibraltar,GIB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,..
Gibraltar,GIB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Gibraltar,GIB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Greece,GRC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.477808049
Greece,GRC,"Population ages 15-64, total",SP.POP.1564.TO,7360393
Greece,GRC,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.230817489
Greece,GRC,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Greece,GRC,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,46.261
Greenland,GRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.735825059
Greenland,GRL,"Population ages 15-64, total",SP.POP.1564.TO,40171
Greenland,GRL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,..
Greenland,GRL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Greenland,GRL,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,61
Grenada,GRD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.511146187
Grenada,GRD,"Population ages 15-64, total",SP.POP.1564.TO,75552
Grenada,GRD,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.02630679
Grenada,GRD,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Grenada,GRD,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Guam,GUM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.263251936
Guam,GUM,"Population ages 15-64, total",SP.POP.1564.TO,109228
Guam,GUM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.006064098
Guam,GUM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Guam,GUM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,56.3
Guatemala,GTM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.884175428
Guatemala,GTM,"Population ages 15-64, total",SP.POP.1564.TO,8095003
Guatemala,GTM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.105205675
Guatemala,GTM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Guatemala,GTM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,58.345
Guinea,GIN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.813360169
Guinea,GIN,"Population ages 15-64, total",SP.POP.1564.TO,5318008
Guinea,GIN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.282355837
Guinea,GIN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,2.80614996
Guinea,GIN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Guinea-Bissau,GNB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.6109709
Guinea-Bissau,GNB,"Population ages 15-64, total",SP.POP.1564.TO,842640
Guinea-Bissau,GNB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.191421753
Guinea-Bissau,GNB,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Guinea-Bissau,GNB,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Guyana,GUY,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.138441601
Guyana,GUY,"Population ages 15-64, total",SP.POP.1564.TO,472354
Guyana,GUY,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.561548376
Guyana,GUY,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Guyana,GUY,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Haiti,HTI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.651511534
Haiti,HTI,"Population ages 15-64, total",SP.POP.1564.TO,5905094
Haiti,HTI,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.119883611
Haiti,HTI,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Haiti,HTI,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Honduras,HND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.731140344
Honduras,HND,"Population ages 15-64, total",SP.POP.1564.TO,5002497
Honduras,HND,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.120460072
Honduras,HND,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Honduras,HND,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,59.364
"Hong Kong SAR, China",HKG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.767690547
"Hong Kong SAR, China",HKG,"Population ages 15-64, total",SP.POP.1564.TO,5228958
"Hong Kong SAR, China",HKG,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.000498277
"Hong Kong SAR, China",HKG,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
"Hong Kong SAR, China",HKG,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,57.01
Hungary,HUN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.076254043
Hungary,HUN,"Population ages 15-64, total",SP.POP.1564.TO,6874888
Hungary,HUN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.43919899
Hungary,HUN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Hungary,HUN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,44.719
Iceland,ISL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.832774915
Iceland,ISL,"Population ages 15-64, total",SP.POP.1564.TO,212920
Iceland,ISL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.38674259
Iceland,ISL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Iceland,ISL,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,74.303
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.497584702
India,IND,"Population ages 15-64, total",SP.POP.1564.TO,793438411
India,IND,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.126557534
India,IND,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
India,IND,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,53.027
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.22385418
Indonesia,IDN,"Population ages 15-64, total",SP.POP.1564.TO,161537956
Indonesia,IDN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.095813321
Indonesia,IDN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Indonesia,IDN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,62.845
"Iran, Islamic Rep.",IRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.797938296
"Iran, Islamic Rep.",IRN,"Population ages 15-64, total",SP.POP.1564.TO,54810078
"Iran, Islamic Rep.",IRN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.204182206
"Iran, Islamic Rep.",IRN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
"Iran, Islamic Rep.",IRN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,35.905
Iraq,IRQ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.402564845
Iraq,IRQ,"Population ages 15-64, total",SP.POP.1564.TO,17425807
Iraq,IRQ,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.127939101
Iraq,IRQ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Iraq,IRQ,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Ireland,IRL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.682972022
Ireland,IRL,"Population ages 15-64, total",SP.POP.1564.TO,3080449
Ireland,IRL,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.096233571
Ireland,IRL,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Ireland,IRL,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,53.502
Isle of Man,IMN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.399998424
Isle of Man,IMN,"Population ages 15-64, total",SP.POP.1564.TO,55127
Isle of Man,IMN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.3027628
Isle of Man,IMN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Isle of Man,IMN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Israel,ISR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.668515118
Israel,ISR,"Population ages 15-64, total",SP.POP.1564.TO,4742275
Israel,ISR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.038511989
Israel,ISR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Israel,ISR,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,58.054
Italy,ITA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.713295839
Italy,ITA,"Population ages 15-64, total",SP.POP.1564.TO,38830477
Italy,ITA,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.118797349
Italy,ITA,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Italy,ITA,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,44.173
Jamaica,JAM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.457147209
Jamaica,JAM,"Population ages 15-64, total",SP.POP.1564.TO,1847528
Jamaica,JAM,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.043893403
Jamaica,JAM,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Jamaica,JAM,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,56.162
Japan,JPN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.097917919
Japan,JPN,"Population ages 15-64, total",SP.POP.1564.TO,80939051
Japan,JPN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.03343484
Japan,JPN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,19.91313934
Japan,JPN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,56.539
Jordan,JOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.314834221
Jordan,JOR,"Population ages 15-64, total",SP.POP.1564.TO,4153580
Jordan,JOR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.025623054
Jordan,JOR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Jordan,JOR,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,34.5
Kazakhstan,KAZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.300000003
Kazakhstan,KAZ,"Population ages 15-64, total",SP.POP.1564.TO,11193587
Kazakhstan,KAZ,Arable land (hectares per person),AG.LND.ARBL.HA.PC,1.757384202
Kazakhstan,KAZ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Kazakhstan,KAZ,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,67.06
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.058473603
Kenya,KEN,"Population ages 15-64, total",SP.POP.1564.TO,22669400
Kenya,KEN,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.132472997
Kenya,KEN,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Kenya,KEN,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Kiribati,KIR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-1.120260261
Kiribati,KIR,"Population ages 15-64, total",SP.POP.1564.TO,65030
Kiribati,KIR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.018519376
Kiribati,KIR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Kiribati,KIR,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,41.13
"Korea, Dem. People's Rep.",PRK,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..
"Korea, Dem. People's Rep.",PRK,"Population ages 15-64, total",SP.POP.1564.TO,16969785
"Korea, Dem. People's Rep.",PRK,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.097219384
"Korea, Dem. People's Rep.",PRK,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
"Korea, Dem. People's Rep.",PRK,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
"Korea, Rep.",KOR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.804824918
"Korea, Rep.",KOR,"Population ages 15-64, total",SP.POP.1564.TO,35953443
"Korea, Rep.",KOR,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.0304112
"Korea, Rep.",KOR,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,24.3577404
"Korea, Rep.",KOR,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,59.322
Kosovo,XKX,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.939950549
Kosovo,XKX,"Population ages 15-64, total",SP.POP.1564.TO,1152746
Kosovo,XKX,Arable land (hectares per person),AG.LND.ARBL.HA.PC,..
Kosovo,XKX,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Kosovo,XKX,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,..
Kuwait,KWT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.37026412
Kuwait,KWT,"Population ages 15-64, total",SP.POP.1564.TO,2212613
Kuwait,KWT,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.003397482
Kuwait,KWT,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Kuwait,KWT,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,75.48
Kyrgyz Republic,KGZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.471566601
Kyrgyz Republic,KGZ,"Population ages 15-64, total",SP.POP.1564.TO,3547634
Kyrgyz Republic,KGZ,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.234255401
Kyrgyz Republic,KGZ,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..
Kyrgyz Republic,KGZ,"Employment to population ratio, 15+, total (%) (national estimate)",SL.EMP.TOTL.SP.NE.ZS,66.595
Lao PDR,LAO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.526905517
Lao PDR,LAO,"Population ages 15-64, total",SP.POP.1564.TO,3804527
Lao PDR,LAO,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.22139925
